Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
2215.0,7500.0,45796.8,0.0,0.0,13.0,0.0,0.0,2.0,17974.65
7278.0,54432.0,45796.8,0.0,0.0,5.0,2.0,2.0,1.0,61925.7
43.0,180.0,12600.0,0.0,0.0,10.0,0.0,0.0,2.0,2760.11
3479.0,35616.0,240408.0,0.0,0.0,1.0,2.0,2.0,1.0,10048.1
524.0,6552.0,42588.0,0.0,0.0,1.0,2.0,2.0,1.0,4453.71
1815.0,15960.0,23142.0,0.0,0.0,1.0,3.0,2.0,1.0,9931.49
1815.0,3500.0,39025.0,0.0,0.0,1.0,2.0,2.0,1.0,9931.49
3.0,1.0,350.0,0.0,0.0,11.0,0.0,0.0,0.0,597.43
15.0,44.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,633.73
1172.0,5080.0,55880.0,0.0,0.0,14.0,2.0,2.0,1.0,5595.44
54.0,200.0,32688.0,0.0,0.0,1.0,2.0,2.0,0.0,13981.96
600.0,2000.0,42000.0,0.0,0.0,5.0,0.0,0.0,0.0,5714.31
173.0,500.0,20000.0,0.0,0.0,5.0,0.0,0.0,3.0,17928.53
1313.0,2500.0,200000.0,0.0,0.0,4.0,0.0,0.0,2.0,5157.65
134.0,400.0,8000.0,0.0,0.0,4.0,0.0,0.0,6.0,963.73
78.0,125.0,17375.0,0.0,0.0,6.0,0.0,0.0,0.0,4702.79
512.0,1500.0,120000.0,0.0,0.0,2.0,0.0,0.0,2.0,3906.29
2895.0,1500.0,41475.0,0.0,0.0,1.0,2.0,2.0,1.0,18045.24
226.0,1000.0,82190.0,0.0,0.0,1.0,2.0,2.0,5.0,2923.46
3338.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,28466.06
3112.0,10000.0,200000.0,0.0,0.0,3.0,0.0,0.0,6.0,22856.02
68.0,250.0,6750.0,0.0,0.0,0.0,0.0,0.0,4.0,1711.86
2300.0,2450.0,78400.0,0.0,0.0,5.0,0.0,0.0,3.0,38425.29
4124.0,38784.0,271488.0,0.0,0.0,5.0,2.0,2.0,1.0,10500.0
513.0,2000.0,164400.0,0.0,0.0,1.0,2.0,2.0,5.0,5866.31
83.0,800.0,1400.0,0.0,0.0,1.0,3.0,2.0,1.0,2426.05
31.0,180.0,1850.4,0.0,0.0,6.0,2.0,1.0,1.0,910.86
979.0,4300.0,309557.0,0.0,0.0,4.0,0.0,0.0,2.0,8690.26
522.0,476.0,36176.0,0.0,0.0,0.0,0.0,0.0,0.0,6924.83
1080.0,3150.0,100800.0,0.0,0.0,5.0,0.0,0.0,3.0,15987.05
256.0,1116.0,78120.0,0.0,0.0,0.0,0.0,0.0,2.0,4014.57
362.0,1062.0,33984.0,0.0,0.0,8.0,0.0,0.0,3.0,4717.51
137.0,408.0,3162.0,0.0,0.0,1.0,2.0,1.0,1.0,5260.46
1000.0,10420.0,77108.0,0.0,0.0,1.0,2.0,2.0,1.0,7526.06
920.0,9600.0,71040.0,0.0,0.0,1.0,2.0,2.0,1.0,7265.05
385.0,1520.0,124944.0,0.0,0.0,1.0,2.0,2.0,5.0,4393.32
208.0,800.0,65760.0,0.0,0.0,1.0,2.0,2.0,5.0,3449.4
1360.0,15360.0,113664.0,0.0,0.0,1.0,2.0,2.0,1.0,5412.14
242.0,2180.0,6997.8,0.0,0.0,1.0,2.0,2.0,1.0,5881.57
185.0,2016.0,18648.0,0.0,0.0,1.0,2.0,2.0,1.0,5551.97
81.0,400.0,2800.0,0.0,0.0,1.0,2.0,1.0,0.0,2035.66
1537.0,10080.0,103219.2,0.0,0.0,1.0,2.0,2.0,1.0,13507.92
470.0,2059.0,144130.0,0.0,0.0,6.0,0.0,0.0,2.0,3684.28
1989.0,5900.0,188800.0,0.0,0.0,4.0,0.0,0.0,3.0,19569.48
889.0,3000.0,215970.0,0.0,0.0,4.0,0.0,0.0,2.0,7303.52
1062.0,1062.0,33984.0,0.0,0.0,8.0,0.0,0.0,3.0,3976.33
3.0,5.0,160.0,0.0,0.0,11.0,0.0,0.0,3.0,1225.17
5406.0,8.0,560.0,0.0,0.0,11.0,0.0,0.0,2.0,559.95
327.0,1848.0,5359.2,0.0,0.0,1.0,2.0,2.0,1.0,3171.36
4922.0,7002.0,161046.0,0.0,0.0,7.0,0.0,0.0,9.0,46117.09
5057.0,7002.0,161046.0,0.0,0.0,7.0,0.0,0.0,9.0,44360.44
5057.0,7002.0,161046.0,0.0,0.0,7.0,0.0,0.0,9.0,44347.71
2278.0,7690.0,76.9,0.0,0.0,12.0,0.0,3.0,1.0,23743.01
1698.0,18560.0,168896.0,0.0,0.0,5.0,2.0,2.0,1.0,16414.22
220.0,650.0,20800.0,0.0,0.0,10.0,0.0,0.0,3.0,7078.9
554.0,1678.0,53696.0,0.0,0.0,3.0,0.0,0.0,3.0,4810.99
400.0,10000.0,80000.0,0.0,0.0,7.0,0.0,3.0,2.0,4856.14
2462.0,24963.0,45796.8,0.0,0.0,3.0,2.0,2.0,0.0,3451.41
60.0,351.0,25272.0,0.0,0.0,8.0,0.0,0.0,2.0,1097.78
3509.0,5200.0,15080.0,0.0,0.0,1.0,2.0,2.0,1.0,12835.2
94.0,300.0,6000.0,0.0,0.0,4.0,0.0,0.0,6.0,1205.43
33.0,80.0,6800.0,0.0,0.0,15.0,0.0,0.0,0.0,812.0
2724.0,10680.0,438948.0,0.0,0.0,3.0,2.0,2.0,5.0,12620.12
48.0,20.0,7000.0,0.0,0.0,11.0,0.0,0.0,0.0,1119.99
2268.0,28034.0,195677.32,0.0,0.0,5.0,2.0,2.0,1.0,19023.36
1250.0,2000.0,70420.0,0.0,0.0,2.0,2.0,4.0,0.0,17170.07
534.0,476.0,52360.0,0.0,0.0,0.0,0.0,0.0,0.0,9471.52
20.0,18.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.43
2261.0,6760.0,216320.0,0.0,0.0,10.0,0.0,0.0,3.0,17643.81
424.0,820.0,73074.13,0.0,0.0,3.0,3.0,2.0,0.0,3310.89
4.0,4.0,300.0,0.0,0.0,10.0,0.0,0.0,0.0,133.25
11.0,31.0,734.7,0.0,0.0,0.0,0.0,0.0,6.0,515.32
13.0,19.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,859.53
389.0,198.0,35802.36,0.0,0.0,1.0,3.0,2.0,7.0,7286.16
504.0,416.0,2579.2,0.0,0.0,2.0,1.0,1.0,1.0,5920.42
1498.0,16683.0,65897.85,0.0,0.0,0.0,2.0,2.0,1.0,20257.08
1498.0,9321.0,29361.15,0.0,0.0,0.0,3.0,2.0,1.0,20257.08
37.0,602.0,1414.7,0.0,0.0,8.0,3.0,2.0,1.0,569.52
369.0,6349.0,21269.15,0.0,0.0,14.0,2.0,2.0,1.0,2623.49
