Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
327.0,1436,103377.64,0,0,15,0,0,2,6687.51
206.0,659,13180.0,0,0,0,0,0,6,2358.13
17.0,7,2450.0,0,0,15,0,0,0,587.63
46.0,200,14398.0,0,0,11,0,0,2,1028.18
56.0,850,8.5,0,0,14,0,3,1,360.0
483.0,1275,34425.0,0,0,14,0,0,4,4193.88
85.0,85,2720.0,0,0,14,0,0,3,1253.98
366.0,331,25156.0,0,0,0,0,0,0,7915.98
124.0,500,12500.0,0,0,1,2,2,1,5217.59
122.0,2016,27538.56,0,0,1,2,2,1,2864.44
57.0,250,17997.5,0,0,0,0,0,2,1796.68
703.0,3024,27972.0,0,0,1,2,2,1,10356.86
251.0,1040,85488.0,0,0,1,2,2,5,2519.89
889.0,9576,24897.6,0,0,1,2,2,1,7884.8
100.0,121,16819.0,0,0,6,0,0,0,1372.85
54.0,84,11676.0,0,0,6,0,0,0,871.71
986.0,4327,302890.0,0,0,5,0,0,2,26574.61
414.0,1396,100498.04,0,0,9,0,0,2,5781.14
755.0,15960,38304.0,0,0,1,2,2,1,6609.02
301.0,5040,62294.4,0,0,1,2,2,1,4883.46
65.0,132,1990.56,0,0,3,1,1,0,633.0
488.0,7,184.45,0,0,2,2,5,1,4404.9
2441.0,8485,229095.0,0,0,2,0,0,4,22229.32
9.0,6,493.2,0,0,1,2,2,5,2709.98
331.0,880,20680.0,0,0,1,2,2,1,2771.84
60.0,280,1960.0,0,0,1,2,1,0,1516.05
5057.0,6998,160954.0,0,0,7,0,0,9,44347.71
275.0,1174,82180.0,0,0,0,0,0,2,4015.0
3221.0,30,197.1,0,0,6,2,5,1,21015.77
268.0,1174,82180.0,0,0,0,0,0,2,5243.53
46.0,150,1.5,0,0,10,0,3,1,2698.04
1068.0,6966,16718.4,0,0,1,2,2,1,3894.21
1044.0,4200,12180.0,0,0,1,2,2,1,3854.23
1651.0,4916,157312.0,0,0,12,0,0,3,23300.18
844.0,2500,80000.0,0,0,7,0,0,3,8101.57
3231.0,8964,242028.0,0,0,7,0,0,4,15619.2
2535.0,3510,80730.0,0,0,7,0,0,9,20083.74
12.0,12,629.88,0,0,0,2,5,1,536.78
236.0,700,22400.0,0,0,10,0,0,3,6862.01
