Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
26.25,0.88,9000.0,30,100000,From RDC,Truck,Zambia,Adult,Tablet,Yes,14036.31
23.0,0.16,5057.0,1,7002,Direct Drop,Air,Ethiopia,HIV test,Test kit,Yes,44347.71
8.11,0.14,1248.0,60,40070,From RDC,Truck,Mozambique,Adult,Tablet,Yes,18448.52
1.95,0.01,2357.0,240,6339,From RDC,Air,"Congo, DRC",Pediatric,Oral,Yes,24505.0
2.9,0.05,327.0,60,2250,From RDC,Air,Uganda,Adult,Tablet,No,2737.97
36.0,0.3,74.0,120,217,Direct Drop,Air,Uganda,Adult,Tablet,Yes,294.86
32.0,0.16,29.0,20,66,Direct Drop,Air,Others,HIV test,Test kit,Yes,732.72
11.22,0.19,1248.0,60,185875,From RDC,Truck,Mozambique,Adult,Tablet,Yes,12405.54
12.49,0.21,4726.0,60,2610,Direct Drop,Ocean,Haiti,Adult,Tablet,No,7208.11
7.3,0.24,7889.0,30,2480,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,No,6406.53
4.51,0.15,9375.0,30,110291,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,9951.38
10.0,0.33,70.0,30,280,From RDC,Air,Uganda,Adult,Tablet,No,1764.84
6.85,0.11,30.0,60,240,Direct Drop,Air,Haiti,Adult,Tablet,Yes,877.61
15.04,0.5,1248.0,30,190000,From RDC,Truck,Zambia,Adult,Tablet,Yes,13914.56
2.6,0.04,3098.0,60,25000,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,12745.06
25.45,0.42,687.0,60,6930,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,1854.88
10.87,0.36,592.0,30,1278,From RDC,Air,South Sudan,Adult,Tablet,No,6169.0
3.28,0.05,189.0,60,2376,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,8953.21
7.78,0.13,1248.0,60,84900,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,36194.84
8.58,0.29,368.0,270,482,From RDC,Air,Côte d'Ivoire,Adult,Capsule,No,1619.0
8.58,0.8,3247.0,100,8000,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,41461.1
6.76,0.11,466.0,60,1927,From RDC,Air,Guyana,Adult,Tablet,Yes,5724.4
26.25,0.88,1566.0,30,6000,From RDC,Air,Nigeria,Adult,Tablet,Yes,10624.04
2.21,0.04,35.0,60,525,From RDC,Air,Burundi,Adult,Tablet,Yes,638.65
10.78,0.36,7295.0,30,47116,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,28669.4
1.95,0.01,5939.0,240,564,Direct Drop,Air,Vietnam,Pediatric,Oral,Yes,10770.55
8.0,0.08,130.0,100,1727,Direct Drop,Air,Uganda,HIV test - Ancillary,Test kit,Yes,534.86
38.36,0.11,3369.0,336,157,From RDC,Air,Tanzania,Adult,Capsule,No,9689.0
20.5,0.34,464.0,60,3930,From RDC,Air,Uganda,Adult,Tablet,No,3393.0
3.21,0.11,5678.0,30,25555,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,No,20052.11
9.62,0.16,1248.0,60,138508,From RDC,Air,Nigeria,Adult,Tablet,No,51090.0
8.58,0.8,1907.0,100,4004,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,34940.02
8.58,0.48,84.0,120,1217,From RDC,Air,Mozambique,Adult,Tablet,No,1338.04
8.58,0.8,490.0,100,2000,From RDC,Truck,Kenya,HIV test,Test kit,Yes,405.97
1.43,0.01,5467.0,240,13863,Direct Drop,Ocean,Ghana,Pediatric,Oral,Yes,11447.38
8.15,0.14,70.0,60,1200,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,1949.84
8.0,0.13,108.0,60,1319,From RDC,Truck,Uganda,Adult,Tablet,Yes,1618.01
8.58,0.89,39.0,100,90,Direct Drop,Air,South Sudan,HIV test,Test kit,Yes,1434.98
7.3,0.08,684.0,90,10000,From RDC,Truck,Zambia,Pediatric,Tablet,Yes,1026.49
8.1,0.13,6918.0,60,50000,Direct Drop,Air,Uganda,Adult,Tablet,Yes,22886.81
10.87,0.36,1248.0,30,89490,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,30936.1
32.0,0.16,19.0,20,25,From RDC,Air,Others,HIV test,Test kit,Yes,851.24
3.89,0.06,3376.0,60,70000,From RDC,Air Charter,Nigeria,Pediatric,Tablet,Yes,29674.91
8.58,0.8,84.0,100,184,Direct Drop,Air,Others,HIV test,Test kit,Yes,3252.26
2.35,0.08,5634.0,30,100000,Direct Drop,Ocean,South Africa,Pediatric,Capsule,Yes,17819.74
38.36,0.11,154.0,336,50,Direct Drop,Air,Nigeria,Adult,Capsule,Yes,1176.03
12.42,0.41,196.0,30,2060,From RDC,Air,Uganda,Adult,Tablet,Yes,1381.7
2.6,0.04,726.0,60,10935,Direct Drop,Air,Vietnam,Adult,Tablet,No,7388.14
5.0,0.16,17.0,1,39,Direct Drop,Air,Others,HIV test - Ancillary,Test kit,No,514.52
8.61,0.14,4762.0,60,19740,Direct Drop,Air,Vietnam,Adult,Tablet,No,17541.06
8.58,0.7,216.0,100,950,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,3744.18
3.6,0.06,6295.0,60,10340,From RDC,Air Charter,Nigeria,Pediatric,Tablet,No,16941.0
4.62,0.15,4598.0,30,27053,Direct Drop,Air Charter,Zimbabwe,Adult,Tablet,Yes,25467.64
9.35,0.16,501.0,60,5377,From RDC,Air,Uganda,Adult,Tablet,Yes,3266.38
8.58,0.8,73.0,100,168,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,1806.81
25.45,0.42,1630.0,60,15900,From RDC,Truck,Tanzania,Adult,Tablet,Yes,2217.5
9.76,0.33,1248.0,30,400000,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,77960.08
11.15,0.37,8456.0,30,68762,From RDC,Truck,Tanzania,Adult,Tablet,Yes,7134.39
13.0,0.43,319.0,30,5100,Direct Drop,Air,Dominican Republic,Adult,Capsule,Yes,3026.24
9.6,0.32,1248.0,30,200000,From RDC,Truck,Mozambique,Adult,Tablet,Yes,19194.37
8.58,0.89,2292.0,100,5640,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,27361.87
18.9,0.16,1248.0,120,54000,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,44448.75
6.07,0.2,1248.0,30,66700,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,37242.5
5.73,0.1,3931.0,60,29315,From RDC,Air,Ethiopia,Adult,Tablet,Yes,13215.67
16.44,0.27,2344.0,60,23340,From RDC,Air,Tanzania,Adult,Tablet,Yes,1647.25
1.8,0.01,7482.0,240,20000,From RDC,Truck,Zambia,Pediatric,Oral,Yes,6801.72
15.04,0.5,972.0,30,8640,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,4754.53
8.5,0.28,10.0,30,105,From RDC,Truck,Zimbabwe,Pediatric,Capsule,Yes,3403.99
2.44,0.04,5.0,60,90,From RDC,Air,Uganda,Adult,Tablet,Yes,537.32
32.0,0.16,125.0,20,383,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,1908.34
1.95,0.01,1248.0,240,41737,From RDC,Truck,Mozambique,Pediatric,Oral,Yes,12405.54
3.78,0.13,1630.0,30,1540,From RDC,Air,"Congo, DRC",Adult,Tablet,No,18387.8
16.5,0.55,710.0,30,2000,Direct Drop,Air,Rwanda,HIV test,Test kit,Yes,3120.7
36.0,0.16,16.0,20,15,From RDC,Air,Others,HIV test,Test kit,Yes,1764.93
1.92,0.01,1468.0,240,2938,From RDC,Air,Côte d'Ivoire,Pediatric,Oral,No,4602.4
8.58,0.29,373.0,270,575,From RDC,Air,Côte d'Ivoire,Adult,Capsule,No,1850.0
8.58,0.16,36.0,100,15,Direct Drop,Air,Haiti,HIV test,Test kit,Yes,1195.29
8.58,0.72,526.0,100,1800,From RDC,Truck,Zimbabwe,HIV test,Test kit,No,2185.82
8.58,0.2,52.0,300,21,Direct Drop,Air,Guyana,Pediatric,Oral,Yes,1097.08
3.89,0.06,248.0,60,5800,From RDC,Air,Côte d'Ivoire,Pediatric,Tablet,Yes,2431.36
9.5,0.16,447.0,60,367,From RDC,Air,Nigeria,Adult,Tablet,Yes,2230.0
8.58,0.51,930.0,120,3885,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,8303.48
8.58,0.8,1246.0,100,2618,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,22614.24
3.15,0.05,1498.0,60,9321,Direct Drop,Air,Côte d'Ivoire,Adult,Capsule,No,20257.08
7.4,0.12,6650.0,60,2011,From RDC,Air,Tanzania,Adult,Tablet,Yes,36855.6
24.0,0.2,243.0,120,954,Direct Drop,Air,Guyana,Adult,Tablet,Yes,2492.47
32.0,0.16,9000.0,20,9000,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,55746.59
