Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded,Freight_Cost_USD_Clean
0.13531035368123756,-0.5,0.8844092880836948,-0.1118279569892473,0.16666666666666666,1,2,11,1,1,1,1,2,5761.87
-0.2675396366904166,2.0,-0.17378096939209467,2.1903225806451614,0.3055555555555556,1,10,1,3,1,0,1,1,1583.0
-0.19025611399961487,0.0,-0.014653884008311158,-0.09301075268817206,-0.1388888888888889,1,8,1,1,1,1,1,9,4520.66
-0.3119584055459272,1.0,-0.20440102552886427,1.482795698924731,0.38888888888888884,1,8,12,1,1,1,1,6,995.22
0.2903909108415174,-0.6666666666666666,0.13047546142723485,1.2591397849462365,4.000000000000001,1,7,2,4,1,1,3,4,21686.21
0.36048526863084923,0.0,-0.20002673179504005,-0.33602150537634407,-0.3333333333333333,1,10,17,1,0,0,1,2,22788.95
-0.3170935233326914,-0.6666666666666666,-0.20785185725221447,1.2591397849462365,4.000000000000001,1,7,18,4,1,1,3,4,581.73
-0.1319725271198408,-0.5,0.11482521051288594,-0.2193548387096774,-0.027777777777777804,1,3,3,1,1,1,1,2,3710.65
0.4441876885551062,0.6666666666666666,0.5193015711004993,-0.39139784946236555,-0.4166666666666667,2,1,12,2,1,0,2,2,5458.46
-0.0726619166827139,0.6666666666666666,-0.09650178009453335,-0.4612903225806451,-0.4444444444444445,1,6,5,4,1,1,3,3,16382.89
-0.2770396045959304,1.0,-0.16887203975746973,3.119354838709677,1.0833333333333335,1,15,12,1,1,1,1,1,359.53
-0.2796071634893125,0.0,-0.15628379445679777,0.15161290322580645,0.08333333333333333,1,1,11,1,1,1,1,2,2568.6
0.2629180306823288,4.0,-0.09961238897191946,1.1956989247311829,-0.16666666666666666,1,11,2,2,1,1,2,8,13949.95
0.23852622119519867,-0.5,1.0054800179832075,0.43924731182795695,1.1111111111111112,1,1,6,1,1,0,1,2,2912.01
0.9117401630399897,0.0,2.216527539824299,-0.15537634408602147,-0.19444444444444448,1,4,11,1,1,1,1,2,10959.54
-0.0726619166827139,0.6666666666666666,-0.005613676958407757,3.409139784946236,1.5555555555555554,1,9,6,4,1,1,3,3,7781.88
-0.2659991013543873,3.0,-0.1817519046403966,0.21075268817204298,-0.3055555555555556,1,1,1,2,1,0,2,2,1771.26
4.702740869118686,0.0,6.875839795876967,-0.33064516129032256,-0.3333333333333333,4,5,8,1,1,1,1,2,33865.26
-0.05751331921175942,2.0,-0.2087753192626885,2.2268817204301072,0.3333333333333334,1,16,4,3,1,0,1,1,5226.6
-0.13274279478785544,-0.5,-0.16989270829536204,0.2456989247311828,0.7777777777777779,1,2,13,1,0,0,1,2,9041.74
-0.14583734514410424,0.0,-0.04692645111119212,0.009677419354838694,-0.027777777777777804,1,2,12,1,0,0,1,2,3335.33
0.09833750561653508,3.0,0.010619813120451039,-0.004301075268817208,-0.3333333333333333,1,4,9,2,1,1,2,2,13116.57
2.6114641504589513,0.0,5.6226442605620965,-0.33978494623655914,-0.3333333333333333,2,1,2,1,1,0,1,2,11941.65
0.32222864111945565,0.0,1.9497928285884396,-0.27849462365591393,-0.2777777777777778,2,3,2,1,1,0,1,2,3629.37
1.5456704538160344,0.0,-0.204935661429665,-0.2849462365591398,-0.3055555555555556,1,4,7,1,0,0,1,2,13243.91
-0.26702612491174016,1.0,-0.1708647735695452,3.958064516129032,1.4444444444444446,1,8,11,1,1,1,1,6,3449.4
0.006418897233455292,3.0,-0.04483651077169832,-0.34838709677419355,-0.4166666666666667,2,4,1,2,1,0,2,2,4783.36
-0.22876949740034663,0.0,0.047218070693447065,-0.2838709677419355,-0.2777777777777778,1,4,7,1,1,0,2,2,2001.46
2.1264522754990693,-0.5,0.8366322798575925,-0.2086021505376344,0.0,2,19,2,1,1,0,1,2,16468.54
0.32222864111945565,-0.5,0.8595244170646059,0.1897849462365591,0.6666666666666667,2,2,6,1,1,0,1,2,4120.69
-0.0002567558893382117,0.6666666666666666,-0.06942976220853231,4.323655913978494,2.0277777777777777,1,6,4,4,1,1,3,3,26859.39
1.6707105719237434,-0.5,-0.19030607905320843,0.1704301075268817,0.638888888888889,1,2,10,1,0,0,1,2,74839.9
3.8880544322485395,0.0,6.875839795876967,-0.33064516129032256,-0.3333333333333333,4,5,8,1,1,1,1,2,20258.29
-0.2875665960587971,0.0,-0.09907775307111873,-0.25215053763440853,-0.2777777777777778,1,2,12,1,1,0,2,2,1611.43
-0.04082418640477566,0.0,-0.18943122030644358,-0.15215053763440858,-0.16666666666666666,1,3,11,1,1,1,1,2,2006.63
-0.3188908145580589,0.0,-0.20464404184741006,-0.0467741935483871,-0.08333333333333333,1,1,12,1,1,0,1,2,1053.86
