Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
240.0,806.0,1.9,0.01,1165.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7329.83
100.0,81.0,80.0,0.8,37.0,1.0,9.0,17.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,2190.78
30.0,22000.0,12.11,0.4,2435.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25984.75
240.0,150.0,2.1,0.01,58.0,1.0,1.0,10.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,755.03
240.0,90.0,21.5,0.09,120.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11609.31
20.0,18.0,32.0,1.6,175.0,1.0,3.0,15.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4011.66
30.0,4080.0,26.25,0.88,6991.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,12648.36
240.0,1000.0,16.5,0.07,355.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1886.39
30.0,58489.0,4.51,0.15,4972.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,14439.19
30.0,35930.0,10.52,0.35,4811.0,1.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2486.5
30.0,7197.0,4.49,0.15,530.0,1.0,0.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1860.69
60.0,55560.0,3.4,0.06,5181.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17975.21
60.0,50000.0,2.51,0.04,14810.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16532.5
60.0,3600.0,7.75,0.13,750.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.75
60.0,100000.0,8.11,0.14,12199.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46520.17
60.0,2196.0,3.6,0.06,192.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.42
240.0,49.0,8.51,0.04,392.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4523.0
60.0,61591.0,4.15,0.07,2641.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4529.65
100.0,7.0,129.58352457209097,3.5,17.0,1.0,11.0,17.0,1.0,1.0,2.0,9.0,3.0,1.0,0.0,587.63
30.0,11000.0,11.5,0.38,966.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7329.83
100.0,200.0,71.99,0.72,1693.0,0.0,6.0,23.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1220.73
60.0,3136.0,30.0,0.5,492.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5150.82
90.0,500.0,16.0,0.18,285.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2523.6
30.0,145784.18484021962,11.49,0.38,27549.0,2.0,0.0,17.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,24875.46
60.0,11661.0,11.4,0.19,1311.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11492.86
30.0,1600.0,2.0,0.07,96.0,0.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2145.17
100.0,172.0,4.6,0.05,33.0,1.0,1.0,18.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,882.81
30.0,145784.18484021962,9.36,0.31,24219.0,2.0,4.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,23736.39
120.0,2000.0,18.9,0.16,457.0,1.0,13.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,5413.7
20.0,1903.0,32.0,1.6,566.0,1.0,3.0,14.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3603.93
1.0,4099.0,24.5,11.761991170924096,2733.0,1.0,7.0,7.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,36060.0
