,Country,Fulfill_Via,Shipment_Mode,Sub_Classification,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
1873,0,1,0,2,2,35600.0,263440.0,421.5,6778.91,3731.0
1874,0,1,0,2,2,371.0,3524.5,5.64,8321.29,4689.0
1875,9,1,0,0,0,9700.0,194000.0,310.4,12781.58,2907.0
1876,6,1,0,1,1,70.0,1187.2,1.9,933.09,30.0
1877,6,1,0,1,1,31.0,525.76,0.84,933.09,30.0
1878,2,1,0,2,3,1521.0,2311.92,3.7,2812.3,422.0
1879,2,1,0,2,3,420.0,638.4,1.02,2812.3,422.0
1880,2,1,0,2,2,3077.0,36954.77,59.13,2812.3,422.0
1881,2,1,0,2,2,15.0,412.95,0.66,2812.3,422.0
1882,3,1,0,2,2,122590.0,1158475.5,1825.8853909196707,15210.0,16709.0
1883,9,1,1,2,2,9732.0,72016.8,115.23,2705.71,911.0
1884,6,1,0,0,0,345.0,23115.0,36.98,1328.2,60.0
1885,3,1,1,2,2,75000.0,900750.0,1441.2,9330.0,15566.0
1886,4,1,0,2,2,6597.0,62671.5,100.27,2891.6,617.0
1887,3,1,0,2,2,146746.99759882494,1149360.6,1825.8853909196707,67318.62599614196,28334.0
1888,2,1,0,2,2,8940.0,120690.0,193.1,2722.38,1054.0
1889,12,1,0,2,2,33787.0,419634.54,671.42,3316.9,6081.0
1890,6,1,0,2,3,39.0,68.25,0.11,12508.65,1154.0
1891,4,1,0,2,2,40000.0,136000.0,217.6,35246.5,9344.0
1892,14,1,0,2,2,800.0,7560.0,12.1,935.8,75.0
1893,3,1,1,2,2,112191.0,1060204.95,1696.33,8831.92,10453.0
1894,2,1,0,1,3,1132.0,18112.0,28.98,15307.62,2033.0
1895,0,1,0,1,1,1971.0,2759.4,4.42,1996.68,608.0
1896,7,1,0,1,1,3000.0,4200.0,6.72,1850.7,342.0
1897,6,1,0,2,3,7770.0,11810.4,18.9,11340.2,938.0
1898,0,1,0,0,0,1505.0,108344.95,173.35,1759.4,440.0
1899,3,1,0,2,2,48610.0,461795.0,738.87,20395.6,6007.0
1900,6,1,0,2,2,3115.0,25387.25,40.62,2599.0,178.0
1901,3,1,0,2,2,6722.0,63859.0,102.17,1108.08,634.0
1902,4,1,1,2,2,55000.0,660550.0,1056.88,2196.18,3925.0
1903,0,1,0,2,2,17621.0,59911.4,95.86,3428.5,1650.0
1904,0,1,0,0,0,250.0,17997.5,28.8,1225.42,61.0
1905,9,1,1,2,2,6295.0,51304.25,82.09,1746.3,395.0
1906,6,1,0,2,2,1925.0,15688.75,25.1,1355.06,111.0
1907,6,1,0,2,2,240.0,9864.0,15.78,47525.69,4639.0
